n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
670/76;1964;335.4 / Aj 312n;Nas Garras do Tigre;Ajao_ Aderogba;1;Comunismo
1064/97;1986;843 / A 312t;Toda a vida pela frente;Ajar_ Emile;1;Literatura Francesa  - Romance
0009/06;1993;869.93 / A 312e;Efeito Suspensório;Ajzenberg_ Bernardo;1;Litertura Brasileira - Ficção
535/77;1951;133.92 / Ak 315c;Um Caso de Desmaterialização Parcial de Um Corpo dum Médium;Aksakof_ Alexander ;1;Espiritismo - Desmaterialização
670/80;1964;813 / AL 452g;O Grande Cartaz;Al  Morgan;1;Literatura Americana – Romance 
0017/04 – 0018/04;;981 / A 316o;Outros 500: novas conversas sobre o jeito do Brasil;Alabarse_ Luciano_ org.;2;História do Brasil
122/75;1956;780 / Al 317h;História da Música;Alaleona_ Domingos ;1;Música - História
7535/69;1961;347.9 / AL 318c;O Caso dos Irmãos Naves. O erro judiciário de Araguari;Alamy Filho_ João;1;Brasil \Leis decretos
10608;1947;R 657.02 / AL 322m;Manual del Contador;Alatriste_ Roberto Casas  (direção de);1;1-Contabilidade / 2-Manual do Contador
726/91 – 29/77;1964;R 909 / AL 325h;História Universal - Roma;Alba_ André ;2;Roma
516/87 – 725/91;1968;R 909 / AL 323c;Curso de história Jules Isaac;Alba_ André ;2;História  - Universal  Tempos Modernos
534/78;1958;928 / Sa 251 a;Jean-Paul Sartre;Albéres_ R. M.  ;1;Sartre_ Jean-Paul – Biografia
FEEMA;1994;808.899282 / AL 329g;A Galinha do Vizinho e a vaca amarela;Albergaria_ Lino de;2;Literatura Infanto Juvenil
FEEMA;1994;808.899282/ AL 329m;A Música lá de casa;Albergaria_ Lino de;2;Literatura Infanto Juvenil
;1991;808.899282 / AL 329 p;A palavra perdida;Albergaria_ Lino de;1;Literatura Infanto Juvenil
17/89 – 16/89;1987;808.899282 / AL 329r;A Rede;Albergaria_ Lino de;2;Literatura Infanto Juvenil 
0482/06 - 0329/10;2002;808.899282 / AL 329r;Adeus _ Escola;Albergaria_ Lino de;1;Literatura Infanto Juvenil 
0384/15;2012;Direito Animal / A 145a  - 2012;Adote um amigo;Albergaria_ Lino de;;Literatura Infanto Juvenil - Direito Animal
0788/85;1984;808.899282 / AL 329c;Cinco anos sem chover;Albergaria_ Lino de;1;Literatura Juvenil
0541/08 - 0851/08;2002;808.899282 / A 329c;Chico_ Edu e a Oitava Série;Albergaria_ Lino de;2;Literatura Juvenil
0046/16;2002;808.899282 / A 329c;Chico_ Edu e a Oitava Série;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0047/16;2009;808.899282 / A 329c;Chico_ Edu e o nono ano;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0033/96;1991;J 028.5 / Ab 329c;Coração conta diferente;Albergaria_ Lino de;1;Literatura Infanto Juvenil
FEEMA;1994;808.899282 / AL 329d;Dona Daga e Zé Biludo;Albergaria_ Lino de;2;Literatura Infanto Juvenil
1079/98;1986;J 028.5 / AL 329eu;Eurico ri à toa;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0170/10;1995;808.899282 / A 329g;Guerra na Biblioteca;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0048/16 - 0049/16 - 0102/23;2009;808.899282 / A 329L;Lia e o sétimo ano;Albergaria_ Lino de;3;Literatura Infanto Juvenil
0051/16 - 0040/18;2002;808.899282 / A 329m;Márika e a sétima série;Albergaria_ Lino de;2;Literatura Infanto Juvenil
0050/16 - 0035/12;2003;808.899282 / A 329m;Miguel e a quinta série;Albergaria_ Lino de;2;Literatura Infanto Juvenil
777/85;1984;J 028.5 / AL 329 n;Naá;Albergaria_ Lino de ;1;Literatura Infanto Juvenil
FEEMA;1995;808.899282 / AL 329b;O Bolo das vizinhas;Albergaria_ Lino de ;2;Literatura Infanto Juvenil
0012/89;1987;J 028.5 / AL 329c;O Chuveiro;Albergaria_ Lino de ;1;Literatura Infanto Juvenil
FEEMA;1995;808.899282 / AL 329d;O dia da caça;Albergaria_ Lino de;2;Literatura Infanto Juvenil
14/89;1986;J 028.5 / AL 285c;O Espelho;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0386/16 - 0387/16;2005;808.899282 / A 329m;O menino e o mar;Albergaria_ Lino de;2;Literatura Infanto Juvenil
0255/98;1989;J 028.5 / AL 329r;O Relógio do mundo;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0011/89;1986;J 028.5 / AL 329 a;Um Amor de menino;Albergaria_ Lino de;1;Literatura Infanto Juvenil
0043/16 - 0044/16 - 0045/16;1993;808.899282 / A 329m;Um anjo no jardim;Albergaria_ Lino de;3;Literatura Infanto Juvenil
0537/98;1995;808.899282 / AL 329h;Uma História de Amor;Albergaria_ Lino de;1;Literatura Juvenil
0209/16 - 0210/16;2005;853 / A 331j;O Jogo da sorte;Alberico_ Giulia ;2;Ficção Italiana
2676;1939;944 / AL 332q;De que Morreu Napoleão;Albernaz_ Paulo Mangabeira ;1;França - História
0673/95;1986;306.7 / AL 332e;Enamoramento e Amor;Alberoni_ Francesco ;1;1-Amor /2-Namoro
0013/02;s.d.;155.3 / AL 332e;O Erotismo;Alberoni_ Francesco ;1;1- Erotismo / 2- psicologia - sexualidade
0590/07;c. 1986;155.3 / AL 332e;O Erotismo;Alberoni_ Francesco ;1;1-Sexualidade /2- Erotismo / 3- Promiscuidade
0097/04;1996;179.8 / A 329i;Os invejosos: uma investigação sobre a inveja na sociedade contemporânea;Alberoni_ Francesco ;1;Vícios – Falta
521/84;1966;813 / Al 333c;A Corrida do Século;Albert_ Marvin H. ;1;Literatura Americana – Romance
;;;Índia: roteiro bem e mal-humorado;Albin_ Ricardo Cravo;;Albin_ Ricardo Cravo_ 1940 - Vi
0775/96;1994;152.4 / AL 337c;Ciúme: Conhecer_ enfrentar_ superar;Albisetti_ Valério ;1;Relações interpessoais
0610/08;1998;923.7 / A 339u;A última grande lição: o sentido da vida;Albom_ Mitch;1;1- Schwartz_ Morrie - História de vida /2- Esclerose amiotrópica lateral
0002/09;2004;813 / A 339c;As cinco pessoas que você encontra no céu;Albom_ Mitch;1;Literatura americana - ficção
0885/99;1986;331 / A 339q;O que é trabalho;Albornoz_ Suzana ;1;Trabalho e trabalhadores
0062/01;1985;909 / A 345h;História geral do ocidente;Albuquerque_ Antonio Luiz Porto e ;1;1-História Antiga / 2-História Medieval / 3-História Moderna – sec. XX
0101/16 - 0102/16;2004;780 /A 345r;Rio Fanzine: 18 anos de cultura aalternativa;Albuquerque_ Carlos;2;Música Popular - Miscelânea / Imprensa alternativa
0065/03;1991;808.899282 / AL 345m;Maçã a primeira mordida;Albuquerque_ Flávia;1;Literatura Juvenil
40/84;1984;J 028.5 / AL 345u;Uma vez um homem uma vez um gato;Albuquerque_ Irene de ;1;Literatura Infanto Juvenil
0193/22;2017;158.2 / A345a;A Arte de Lidar Com Pessoas;Albuquerque_ Janiel;1;1-Relação homem-mulher / 2-Casais - 3-Psicologia / 4-Técnicas de auto ajuda
262/75;s.d.;R 981 / AL 345e;O Estado do Rio de Janeiro;Albuquerque_ Julio Pompeu de Castro ;1;1-Rio de Janeiro ( Estado)  - 1928-1931 /2-Brasil-História
430/88;1981;309.181 / AL 345p;Pequena história da formação social brasileira;Albuquerque_ Manuel Mauricio de ;1;História Social - Brasil
153/88;1981;928 / AL 345q;Quando eu era vivo;Albuquerque_ Medeiros e;1;Biografia
774/84;1977;869.93 / AL 345i;Uma Idéia do Doutor Watson;Albuquerque_ Paulo de Medeiros e ;1;1-Literatura Brasileira – Ficção /2-Ficção Policial e de Mistério
240/78;1977;R 869.303 / AL343d;Dicionário de tipos e personagens de Eça de Queiróz;Albuquerque_ Paulo de Medeiros e ;1;Queiróz_ Eça de_ 1845-1900 -Dicionários Índices
0192/05;1985;926 / AL 345e;Experiências Pessoais ou testemunhadas;Albuquerque_ Paulo F.;1;Albuquerque_ Paulo F.
121/76;1973;809 / AL 345m;Os Maiores detetives de todos os tempos. O herói na evolução da estória policial;Albuquerque_ Paulo Medeiros;1;Crítica literária
147/87;1985;320.981 / AL 345d;De Brasília República : o Estado e a Distribuição do Desenvolvimento;Albuquerque_ Roberto Cavalcanti de ;1;Brasil – Política e Governo 1979 -1985 discursos_ Ensaios _ Conferências
0039/06;1997;869.93 / AL 347b;Brás_ Bexiga e Barra Funda e Laranja da China;Alcântara Machado_ Antônio de;1;Literatura Brasileira - Contos e Crônicas
190/73 – 402/85;1970;869.91 / AL 347a;Antigênesis_ Natal e outros Poemas;Alcântara_ Eduardo ;2;Literatura Brasileira - Poesia
203/74;1969;R 340 / Al 347d;Direito Usual;Alcântara_ Norival Dionísio de;1;Direito Usual
0113/95;s.d.;R 372.9 / AL 347h;História replexão e análise;Alcântara_ Paulo ;1;Tempos modernos e contemporâneos
0005/17;2002;297.122 / A 354;O Alcorão;Alcorão;1;Alcorão
057/81 – 1320/87 – 1191/97;1973;J 028.5 / AL 355r;A Rapaziada de Jô;Alcott_ Louisa May ;3;Literatura Juvenil
760/91;c 1969;808.899282 / AL 355f;As filhas do Dr. March ;Alcott_ Louisa May ;1;Literatura Juvenil
866/86;1983;813 / AL 355b;Boas Esposas;Alcott_ Louisa May ;1;Literatura Americana – Romance 
1071/96 – 1154/97;1972;808.899282/ AL 355m;Mulherzinhas;Alcott_ Louisa May ;2;Literatura Juvenil
867/86;s.d.;813 / AL 355m;Mulherzinhas;Alcott_ Louisa May ;1;Literatura Americana – Romance 
457/75;1962;813 / AL 355r;Rosa em Flor;Alcott_ Louisa May ;1;Literatura Americana – Romance 
739/84;s.d.;R 651.02 / AL 356c;Controle e Previsão de Estoque;Alcure_ Sérgio ;1;Controle e Previsão de Estoque
0323/08;2003;909 / A 361m;A medida de todas as coisas;Alder_ Ken;1;1- História Universal /2- Astronomia - Terra /3- Astronomia - História
4972;1961;R 981 / AL 358r;Relação da Conquista e Perda da Cidade de Salvador Pelos Holandeses em 1624-1625;Aldernburgk_ Johann Gregor ;1;1-Brasil – História – Holandeses 1624-1625 /2-Salvador_ cidade do
0170/23;2012;327.73041 / A 364r;Reagan e Thatcher: uma relação difícil;Aldous_ Richards;1;Reagan_ Ronald - Relações Internacionais
1455/90;1972;R 932 / AL 365e;Os Egípcios;Aldred_ Cyril;1;História - Egípcios
0921/99;1984;923.1 / A 432a;Salvador Allende ;Alegria_ Fernando ;1;Biografia
1143/76;1950;808.899282 / AL 366L;Lautaro_ O Jovem Libertador de Arauco;Alegria_ Fernando ;1;Literatura Juvenil
0363/14;2008;R 981 / A 366c;O café no Vale do Paraíba fluminense no século XIX;Alegrio_ Leila Vilela;1;Rio de Janeiro - História
0114/98;1990;J 028.5 / AL 368c;Cara ou coroa: uma fábula republicana;Alencar_ Chico;1;Literatura Infanto Juvenil
0108/03 – 0109/03;1993;808.899282 / AL 368p;Passarinhos e gaviões;Alencar_ Chico;2;Literatura Juvenil
0325/97;1992;J 028.5 / AL 368p;Piracema;Alencar_ Chico;1;Literatura Infanto Juvenil
1366/90 – 0198/91;1986;J 028.5 / AL 368p;Passarinhos e gaviões: uma fábula da constituinte;Alencar_ Chico;2;Literatura Infanto Juvenil
279/91 – 278/91 – 1035/95 – 1119/96;1988;J 028.5 / AL 369t;Trapezunga e terreirão: uma fábula da abolição;Alencar_ Chico;4;Literatura Infanto Juvenil
0428/95 – 1519/96 – 0606/02;1990;808.899282 / AL 368s;Asemente do Nicolau;Alencar_ Chico;3;Literatura Infanto Juvenil
0102/96;1987;J 028.5 / AL 368p;Pascoalzinho Pé - no - chão: uma fábula de reforma agrária;Alencar_ Chico;1;Literatura Infanto Juvenil
1585/84;1984;780.981 / Al 368e;Claridade e Sombra na Música do Povo;Alencar_ Edigar de ;1;1-Música Popular Brasil História e Crítica /2-Compositores Brasileiros – Biografia
484/82;1976;150 / AL 368p;Psicologia. Introdução aos Princípios básicos do comportamento;Alencar_ Eunice M. L. Soriano de ;1;1-Psicologia /2-Introdução aos Princípios Básicos do Comportamento
0222/08;1996;981 / AL 368h;História da sociedade brasileira  ;Alencar_ Francisco et al;1;1- História do Brasil ( 2º grau) /2- História do Brasil - Estudo e Ensino
0344/95 – 1489/97 – 0077/80 – 0290/98 – 0288/98 – 0289/98 – 0182/85 – 0181/85 – 0397/87 – 1087/99;1985;R 981 / AL 368h;História da sociedade brasileira : 2º grau;Alencar_ Francisco  e Outros;10;História  do Brasil -2º grau
0588/03 – 0595/03;1980;R 981 / A 368h;História da sociedade brasileira : 2º grau;Alencar_ Francisco   ;2;História  do Brasil -2º grau
0344/95 / 0511/07;1985;R 981 / AL 368h;História da sociedade brasileira : 2º grau;Alencar_ Francisco   ;2;História  do Brasil -2º grau
0526/07;1981;R 981 / AL  368h;História da sociedade brasileira : 2º grau;Alencar_ Francisco   ;1;História  do Brasil -2º grau /2- História do Brasil - Estudo e Ensino
0517/12;2002;808_899_282;Passarinhos e gaviões: uma fábula da democracia;Alencar_ Francisco   ;1;Literatura  Juvenil
413/73;1972;923 / X 3a;Tal dia é o batizado;Alencar_ Gilberto de ;1;Tiradentes – Joaquim José da Silva Xavier - Biografia
224/82 – 0547/02;1959;869.93 / AL 368t;Tal dia é o Batizado ( O romance de Tiradentes);Alencar_ Gilberto de ;2;Literatura Brasileira - Romance
6666;1961;869.93 / AL 368r;Reconquista;Alencar_ Gilberto de ;1;Literatura Brasileira - Romance
1242/89;1981;808.899282 / AL 368p;A Pata da Gazela;Alencar_ José Martiniano de ;1;Literatura Juvenil
359/85;s.d.;808.899282 / AL 368p;A Pata da Gazela;Alencar_ José Martiniano de ;1;Literatura Juvenil
879;1950;869.93 / AL 368p;A Pata da Gazela;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0659/04;1997;869.93 / AL 368p;A Pata da Gazela;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10281;s.d.;869.93 / AL 368v;A Viuvinha;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
FEEMA;1997;;A Viuvinha;Alencar_ José Martiniano de ;1;Literatura Juvenil
331/75;1957;869.93  / AL 368a;Alfarrábios;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10271 – 0004/03;s.d.;869.93 / AL 368c;Ao Correr da Pena;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
5071 – 5072;1962;869.93 / AL 368m;As Minas de Prata;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
0554/04;s.d.;869.93 / AL 368m;As Minas de Prata;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
440/79 – 686/80;1977;928 / AL 368c;Cartas e Documentos de José de Alencar;Alencar_ José Martiniano de ;2;1-Biografia – José de Alencar /2-Alencar_ José de – Cartas e Documentos
FEEMA;1997;;Cinco Minutos  e a Viuvinha;Alencar_ José Martiniano de ;1;Literatura Juvenil
571/83;s.d.;808.899282 / AL 368c;Cinco Minutos e a Viuvinha;Alencar_ José Martiniano de ;1;Literatura Juvenil
0592/06;1999;869.93 / AL 368c;Cinco Minutos e a Viuvinha;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0670/07;1988;869.93 / AL 368c;Cinco Minutos e a Viuvinha;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0109/07;2002;869.93 / AL 368c;Cinco Minutos e a Viuvinha;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0507/01;s.d.;869.93 / AL 368d;Diva;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
367/85;s.d.;808.899282 / AL 368d;Diva;Alencar_ José Martiniano de ;1;Literatura Juvenil
5058;1962;869.93 / AL 368gu;Guerra dos Mascates;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10277;s.d.;869.93 / AL 368gu;Guerra dos Mascates;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0838/07;2001;808.899282 / AL 368i;Iracema;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0884/08;1997;869.93 / AL 368i;Iracema;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
1080/90;1986;808.899282 / AL 368i;Iracema: Lenda do Ceará;Alencar_ José Martiniano de ;1;Literatura Juvenil
334/92 – 430/92 – 1139/95 – 1243/96 – 1140/95;s.d.;808.899282 / AL 368i;Iracema: Lenda do Ceará;Alencar_ José Martiniano de ;5;Literatura Juvenil
0571/05;s.d.;869.93 / AL 368i;Iracema: Lenda do Ceará;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0555/04;s.d.;869.93 / AL 368i;Iracema e Ubirajara;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
173/86;1980;R 869.9309 /AL 368j;José de Alencar/ Seleção de Textos_ Notas_ Estudos Biográficos_ Históricos e Críticos e Exercícios ;Alencar_ José Martiniano de ;1;Alencar_ José de – 1829-1877 – Crítica e Interpretação
1049/99;1988;869.93 / AL 368L;Lucíola: texto integral;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10266;s.d.;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
 0683/99 - 1180/99 ;1964;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
0821/07;1992;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0836/07;1997;808.899282 / Q 7c;Lucíola;Alencar_ José Martiniano de ;1;Literatura Juvenil
FEEMA;1997;;Lucíola;Alencar_ José Martiniano de ;2;Literatura Juvenil
0369/07;1997;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;1;Literatura Juvenil
865/87 – 431/92;s.d.;808.899282/AL 368L;Lucíola;Alencar_ José Martiniano de ;2;Literatura Infanto - Juvenil
0770/97 – 0683/99 – 1049/99 – 1180/99;1983;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;4;Literatura Brasileira - Romance
0567/06;2006;869.93 / AL 368L;Lucíola;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
5063 – 10269;1962;869.93 / AL 368e;O Ermitão da Glória;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
0557/04;s.d.;869.93 / AL 368e;O Ermitão da Glória;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10276;s.d.;869.93 / AL 368ga;O Gaúcho;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
2684;1954;869.93 / AL 368g;O Gaúcho;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0471/03 – 0726/03 – 0471/01 – 0561/05;1978;869.93 / AL 368g;O Gaúcho;Alencar_ José Martiniano de ;4;Literatura Brasileira - Romance
1486/86;1978;808.899282 / AL 368g;O Gaúcho;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
792 – 641/75;1968;869.93 / AL 368gu;O Guarani;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
128/78;1959;869.93 / AL 368g;O Guarani;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
1058/87;1965;808.899282 / AL 368g;O Guarani;Alencar_ José Martiniano de ;1;Literatura Juvenil
1046/97;1979;869.93 / AL 368gu;O Guarani;Alencar_ José Martiniano de ;1;Literatura Juvenil
839/80 - 0518/79;s.d.;869.93 / AL 368gu;O Guarani;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
0431/08;2005;869.93 / AL 368gu;O Guarani;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10270;s.d.;869.93 / AL 368s;O Sertanejo;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
1286/89;s.d.;808.899282 / AL 368s;O Sertanejo;Alencar_ José Martiniano de ;1;Literatura Juvenil
276/75;1957;869.93 / AL 368s;O Sertanejo;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
5064;1962;869.93 / AL 368s;O Sertanejo;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
86/83 – 583/84 – 466/92 – 141/95 – 331/92;s.d.;808.899282 / AL 368t;O Tronco do Ipê;Alencar_ José Martiniano de ;6;Literatura Juvenil
 0174/05;s.d.;869.93 / AL 368t;O Tronco do Ipê;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
433/92 – 331/92;1980;808.899282 / AL 368t;O Tronco do Ipê;Alencar_ José Martiniano de ;2;Literatura Juvenil
 519/79 – 520/79 – 521/79 – 522/79 – 840/80 – 841/80 – 842/80;1977;869.93 / AL 368r;Romances Ilustrados de José de Alencar;Alencar_ José Martiniano de ;7;Literatura Brasileira - Romance
0577/06;1988;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0127/98 – 0129/98 – 378/92;s.d.;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;3;Literatura Brasileira - Romance
0494/01 – 0023/02;1991;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;2;Literatura Brasileira - Romance
732/91;s.d.;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0537/01;s.d.;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0093/05 - 0043/06 - 0578/06 - 0579/06;1997;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;4;Literatura Brasileira - Romance
0152/07;1993;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0673/08;1996;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0658/08;2004;869.93 / AL 368s;Senhora;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
921/84 – 0957/97 – 0470/01;1974;869.93 / AL 368s;Senhora. Texto Integral;Alencar_ José Martiniano de ;3;Literatura Brasileira - Romance
10267;s.d.;869.93 / AL 368so;Sonhos D´Ouro;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
10273;s.d.;869.93 / AL 368t;Til;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
1131/76 – 1133/76 – 1134/76;1973;808.899282/ AL 368u;Ubirajara;Alencar_ José Martiniano de ;3;Literatura Juvenil
275/75;1957;869.93 / AL 368u;Ubirajara;Alencar_ José Martiniano de ;1;Literatura Brasileira - Romance
0129/08;2003;808.899282 / AL 368u;Ubirajara;Alencar_ José Martiniano de ;1;Literatura Juvenil
0204/16;2013;926.1748 / A 375p;Uma prova do céu;Alexander_ Eben;1;Alexander_ Eben_ 1953 / Neurocirurgiões - Estados Unidos - Biografia / Experiências de quase morte - Estados Unidos
0114/12;2003;808.899282 / A 376l;O Livro dos três;Alexander_ Lloyd;1;Literatura Juvenil
10573;1965;329 / AL 378r;A Revolução democrática Venezuelana;Alexander_ Robert J. ;1;Venezuela – Revolução democrática
